"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220007100""|""Sala de 4 años""|NULL|""8"""
"""220007100""|""Sala de 5 años""|""Mañana""|""8"""
"""220007100""|""Sala de 5 años""|NULL|""8"""
"""220007200""|""Sala de 2 años""|""Mañana""|""9"""
"""220007200""|""Sala de 2 años""|""Tarde""|""10"""
"""220007200""|""Sala de 2 años""|NULL|""19"""
"""220007200""|""Sala de 3 años""|""Mañana""|""15"""
"""220007200""|""Sala de 3 años""|""Tarde""|""28"""
"""220007200""|""Sala de 3 años""|NULL|""43"""
"""220007200""|""Sala de 4 años""|""Mañana""|""38"""
"""220007200""|""Sala de 4 años""|""Tarde""|""21"""
"""220007200""|""Sala de 4 años""|NULL|""59"""
"""220007200""|""Sala de 5 años""|""Mañana""|""45"""
"""220007200""|""Sala de 5 años""|""Tarde""|""42"""
"""220007200""|""Sala de 5 años""|NULL|""87"""
"""220007600""|""Sala de 3 años""|""Mañana""|""2"""
"""220007600""|""Sala de 3 años""|NULL|""2"""
"""220007600""|""Sala de 4 años""|""Mañana""|""4"""
"""220007600""|""Sala de 4 años""|NULL|""4"""
"""220007600""|""Sala de 5 años""|""Mañana""|""4"""
"""220007600""|""Sala de 5 años""|NULL|""4"""
"""220007700""|""Sala de 4 años""|""Mañana""|""37"""
"""220007700""|""Sala de 4 años""|""Tarde""|""59"""
"""220007700""|""Sala de 4 años""|NULL|""96"""
"""220007700""|""Sala de 5 años""|""Mañana""|""79"""
"""220007700""|""Sala de 5 años""|""Tarde""|""62"""
"""220007700""|""Sala de 5 años""|NULL|""141"""
"""220007900""|""Sala de 4 años""|""Mañana""|""58"""
"""220007900""|""Sala de 4 años""|""Tarde""|""53"""
"""220007900""|""Sala de 4 años""|NULL|""111"""
"""220007900""|""Sala de 5 años""|""Mañana""|""61"""
"""220007900""|""Sala de 5 años""|""Tarde""|""46"""
"""220007900""|""Sala de 5 años""|NULL|""107"""
"""220008000""|""Sala de 4 años""|""Tarde""|""23"""
"""220008000""|""Sala de 4 años""|NULL|""23"""
"""220008000""|""Sala de 5 años""|""Mañana""|""24"""
"""220008000""|""Sala de 5 años""|NULL|""24"""
"""220008001""|""Sala de 3 años""|""Tarde""|""4"""
"""220008001""|""Sala de 3 años""|NULL|""4"""
"""220008001""|""Sala de 4 años""|""Tarde""|""11"""
"""220008001""|""Sala de 4 años""|NULL|""11"""
"""220008001""|""Sala de 5 años""|""Mañana""|""13"""
"""220008001""|""Sala de 5 años""|NULL|""13"""
"""220008400""|""Sala de 2 años""|""Mañana""|""12"""
"""220008400""|""Sala de 2 años""|""Tarde""|""8"""
"""220008400""|""Sala de 2 años""|NULL|""20"""
"""220008400""|""Sala de 3 años""|""Mañana""|""15"""
"""220008400""|""Sala de 3 años""|""Tarde""|""27"""
"""220008400""|""Sala de 3 años""|NULL|""42"""
"""220008400""|""Sala de 4 años""|""Mañana""|""38"""
"""220008400""|""Sala de 4 años""|""Tarde""|""31"""
"""220008400""|""Sala de 4 años""|NULL|""69"""
"""220008400""|""Sala de 5 años""|""Mañana""|""38"""
"""220008400""|""Sala de 5 años""|""Tarde""|""24"""
"""220008400""|""Sala de 5 años""|NULL|""62"""
"""220008900""|""Sala de 3 años""|""Mañana""|""23"""
"""220008900""|""Sala de 3 años""|""Tarde""|""20"""
"""220008900""|""Sala de 3 años""|NULL|""43"""
"""220008900""|""Sala de 4 años""|""Mañana""|""21"""
"""220008900""|""Sala de 4 años""|""Tarde""|""22"""
"""220008900""|""Sala de 4 años""|NULL|""43"""
"""220008900""|""Sala de 5 años""|""Mañana""|""44"""
"""220008900""|""Sala de 5 años""|""Tarde""|""20"""
"""220008900""|""Sala de 5 años""|NULL|""64"""
"""220009200""|""Sala de 4 años""|""Mañana""|""39"""
"""220009200""|""Sala de 4 años""|""Tarde""|""58"""
"""220009200""|""Sala de 4 años""|NULL|""97"""
"""220009200""|""Sala de 5 años""|""Mañana""|""58"""
"""220009200""|""Sala de 5 años""|""Tarde""|""43"""
"""220009200""|""Sala de 5 años""|NULL|""101"""
"""220009300""|""Sala de 3 años""|""Mañana""|""3"""
"""220009300""|""Sala de 3 años""|""Tarde""|""2"""
"""220009300""|""Sala de 3 años""|NULL|""5"""
"""220009300""|""Sala de 4 años""|""Mañana""|""3"""
"""220009300""|""Sala de 4 años""|""Tarde""|""4"""
"""220009300""|""Sala de 4 años""|NULL|""7"""
"""220009300""|""Sala de 5 años""|""Mañana""|""6"""
"""220009300""|""Sala de 5 años""|""Tarde""|""4"""
"""220009300""|""Sala de 5 años""|NULL|""10"""
"""220009500""|""Sala de 3 años""|""Mañana""|""3"""
"""220009500""|""Sala de 3 años""|NULL|""3"""
"""220009500""|""Sala de 4 años""|""Mañana""|""2"""
"""220009500""|""Sala de 4 años""|NULL|""2"""
"""220009500""|""Sala de 5 años""|""Mañana""|""7"""
"""220009500""|""Sala de 5 años""|NULL|""7"""
"""220010300""|""Sala de 4 años""|""Mañana""|""2"""
"""220010300""|""Sala de 4 años""|NULL|""2"""
"""220010300""|""Sala de 5 años""|""Mañana""|""2"""
"""220010300""|""Sala de 5 años""|NULL|""2"""
"""220010500""|""Sala de 4 años""|""Mañana""|""5"""
"""220010500""|""Sala de 4 años""|NULL|""5"""
"""220010500""|""Sala de 5 años""|""Mañana""|""4"""
"""220010500""|""Sala de 5 años""|NULL|""4"""
"""220011100""|""Sala de 3 años""|""Mañana""|""1"""
"""220011100""|""Sala de 3 años""|NULL|""1"""
"""220011100""|""Sala de 4 años""|""Mañana""|""2"""
"""220011100""|""Sala de 4 años""|NULL|""2"""
"""220011100""|""Sala de 5 años""|""Mañana""|""3"""
"""220011100""|""Sala de 5 años""|NULL|""3"""
"""220011200""|""Sala de 3 años""|""Mañana""|""1"""
"""220011200""|""Sala de 3 años""|NULL|""1"""
"""220011200""|""Sala de 4 años""|""Mañana""|""1"""
"""220011200""|""Sala de 4 años""|NULL|""1"""
"""220011200""|""Sala de 5 años""|""Mañana""|""3"""
"""220011200""|""Sala de 5 años""|NULL|""3"""
"""220011300""|""Sala de 3 años""|""Mañana""|""1"""
"""220011300""|""Sala de 3 años""|NULL|""1"""
"""220011300""|""Sala de 4 años""|""Mañana""|""2"""
"""220011300""|""Sala de 4 años""|NULL|""2"""
"""220011300""|""Sala de 5 años""|""Mañana""|""5"""
"""220011300""|""Sala de 5 años""|NULL|""5"""
"""220012003""|""Sala de 3 años""|""Mañana""|""2"""
"""220012003""|""Sala de 3 años""|NULL|""2"""
"""220012200""|""Sala de 3 años""|""Tarde""|""21"""
"""220012200""|""Sala de 3 años""|NULL|""21"""
"""220012200""|""Sala de 4 años""|""Mañana""|""15"""
"""220012200""|""Sala de 4 años""|""Tarde""|""14"""
"""220012200""|""Sala de 4 años""|NULL|""29"""
"""220012200""|""Sala de 5 años""|""Mañana""|""15"""
"""220012200""|""Sala de 5 años""|""Tarde""|""13"""
"""220012200""|""Sala de 5 años""|NULL|""28"""
"""220012400""|""Sala de 4 años""|""Mañana""|""36"""
"""220012400""|""Sala de 4 años""|""Tarde""|""12"""
"""220012400""|""Sala de 4 años""|NULL|""48"""
"""220012400""|""Sala de 5 años""|""Mañana""|""38"""
"""220012400""|""Sala de 5 años""|""Tarde""|""26"""
"""220012400""|""Sala de 5 años""|NULL|""64"""
"""220012401""|""Sala de 4 años""|""Mañana""|""22"""
"""220012401""|""Sala de 4 años""|""Tarde""|""22"""
"""220012401""|""Sala de 4 años""|NULL|""44"""
"""220012401""|""Sala de 5 años""|""Mañana""|""21"""
"""220012401""|""Sala de 5 años""|""Tarde""|""20"""
"""220012401""|""Sala de 5 años""|NULL|""41"""
"""220013600""|""Sala de 4 años""|""Mañana""|""20"""
"""220013600""|""Sala de 4 años""|""Tarde""|""13"""
"""220013600""|""Sala de 4 años""|NULL|""33"""
"""220013600""|""Sala de 5 años""|""Mañana""|""22"""
"""220013600""|""Sala de 5 años""|""Tarde""|""7"""
"""220013600""|""Sala de 5 años""|NULL|""29"""
"""220013601""|""Sala de 3 años""|""Mañana""|""4"""
"""220013601""|""Sala de 3 años""|NULL|""4"""
"""220013601""|""Sala de 4 años""|""Mañana""|""2"""
"""220013601""|""Sala de 4 años""|NULL|""2"""
"""220013601""|""Sala de 5 años""|""Mañana""|""7"""
"""220013601""|""Sala de 5 años""|NULL|""7"""
"""220014100""|""Sala de 4 años""|""Mañana""|""24"""
"""220014100""|""Sala de 4 años""|""Tarde""|""23"""
"""220014100""|""Sala de 4 años""|NULL|""47"""
"""220014100""|""Sala de 5 años""|""Mañana""|""44"""
"""220014100""|""Sala de 5 años""|""Tarde""|""47"""
"""220014100""|""Sala de 5 años""|NULL|""91"""
"""220014101""|""Sala de 4 años""|""Tarde""|""24"""
"""220014101""|""Sala de 4 años""|NULL|""24"""
"""220014101""|""Sala de 5 años""|""Mañana""|""21"""
"""220014101""|""Sala de 5 años""|NULL|""21"""
"""220014102""|""Sala de 4 años""|""Mañana""|""8"""
"""220014102""|""Sala de 4 años""|NULL|""8"""
"""220014102""|""Sala de 5 años""|""Mañana""|""16"""
"""220014102""|""Sala de 5 años""|NULL|""16"""
"""220014300""|""Sala de 3 años""|""Tarde""|""11"""
"""220014300""|""Sala de 3 años""|NULL|""11"""
