"codigo"|"calles"|"long"|"lat"|"empresa"|"orden"|"distan_paradas"|"lineas"|"Unnamed: 8"
"C01575"|"Av Alvear y Padre Cerqueira"|"-59.003670000000000"|"-27.44882"|"Línea 8 B Barberan - Barrio UOM  IDA"|"14"|"388.0"|"Línea 8 B "|""
"C01576"|"Av Alvear y Vedia"|"-58.995489999999997"|"-27.45598"|"Línea 8 B Barberan - Barrio UOM  IDA"|"17"|"244.0"|"Línea 8 B "|""
"C00580"|"AV SABIN Y CHARATA"|"-58.971789999999999"|"-27.41803"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"26"|"325.0"|"Línea 9 B "|""
"C01577"|"Av Alvear y Av Alberdi"|"-58.993800000000000"|"-27.45751"|"Línea 205 Fontana - Resistencia VUELTA"|"34"|"239.0"|"Línea 205 "|""
"C02266"|"AV. ALBERDI Y AMEGHINO"|"-58.990040000000000"|"-27.45442"|"Línea 3 C Barrio Vial - Barrio Monte Alto IDA"|"20"|"247.0"|"Línea 3 C "|""
"C02009"|"AV. HERNANDARIAS Y JUJUY"|"-58.998680000000000"|"-27.44984"|"Línea 110 Barrio Los Cisnes - La Toma (Barranqueras) IDA"|"12"|"123.0"|"Línea 110 "|""
"C01578"|"Av Castelli y Jose M. Paz"|"-58.991990000000001"|"-27.45912"|"Línea 205 Fontana - Resistencia VUELTA"|"35"|"253.0"|"Línea 205 "|""
"C01579"|"Av Castelli y Colón"|"-58.990270000000002"|"-27.46065"|"Línea 205 Fontana - Resistencia VUELTA"|"36"|"240.0"|"Línea 205 "|""
"C02267"|"OBLIGADO Y FRONDIZI"|"-58.988379999999999"|"-27.45421"|"Línea 3 C Barrio Vial - Barrio Monte Alto IDA"|"21"|"242.0"|"Línea 3 C "|""
"C01580"|"Av Castelli y Árbol y Blanco"|"-58.988439999999997"|"-27.46224"|"Línea 205 Fontana - Resistencia VUELTA"|"37"|"253.0"|"Línea 205 "|""
"C02010"|"AV. HERNANDARIAS Y JUJUY"|"-58.996110000000002"|"-27.44743"|"Línea 110 Barrio Los Cisnes - La Toma (Barranqueras) IDA"|"13"|"404.0"|"Línea 110 "|""
"C01581"|"Av Castelli y Av Las Heras"|"-58.986739999999998"|"-27.46375"|"Línea 205 Fontana - Resistencia VUELTA"|"38"|"241.0"|"Línea 205 "|""
"C02503"|"AV 9 DE JULIO Y ESPAÑA"|"-58.950980000000001"|"-27.48286"|"Línea 204 Fontana - Barranqueras VUELTA"|"48"|"245.0"|"Línea 204 "|""
"C00581"|"AV SABIN 1000 PREDIO (SAMEEP)"|"-58.976630000000000"|"-27.42324"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"28"|"139.0"|"Línea 9 B "|""
"C02504"|"DIAGONAL EVA PERON Y H. YRIGOYEN"|"-58.948900000000002"|"-27.48309"|"Línea  207 Fontana - Barranqueras VUELTA"|"61"|"198.0"|"Línea  207 "|""
"C02011"|"SALTA Y ECHEVERRIA"|"-58.994610000000002"|"-27.44879"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"19"|"257.0"|"Línea 8 D "|""
"C00228"|"AV. 25 DE MAYO 2500"|"-59.009740000000001"|"-27.43189"|"Línea 204 Fontana - Barranqueras VUELTA"|"16"|"319.0"|"Línea 204 "|""
"C00582"|"AV SABIN Y CALLE IRUPÉ"|"-58.978279999999998"|"-27.42643"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"29"|"389.0"|"Línea 9 B "|""
"C01582"|"Av Las Heras y Av Lopez Piacentini"|"-58.988379999999999"|"-27.46514"|"Línea 205 Fontana - Resistencia VUELTA"|"39"|"228.0"|"Línea 205 "|""
"C00583"|"AV SABIN Y ARENALES"|"-58.978859999999997"|"-27.42788"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"30"|"171.0"|"Línea 9 B "|""
"C01583"|"Av Las Heras y Dodero"|"-58.990220000000001"|"-27.46681"|"Línea 205 Fontana - Resistencia VUELTA"|"40"|"260.0"|"Línea 205 "|""
"C00584"|"AV SABIN Y LAPACHO"|"-58.979430000000001"|"-27.42931"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"31"|"169.0"|"Línea 9 B "|""
"C01584"|"Av Las Heras y Seitor"|"-58.992080000000001"|"-27.46848"|"Línea 205 Fontana - Resistencia VUELTA"|"41"|"261.0"|"Línea 205 "|""
"C02268"|"AV. SAN MARTIN 150"|"-58.983499999999999"|"-27.45626"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"29"|"374.0"|"Línea 104 "|""
"C00585"|"AV SABÍN Y FORTIN CHILCAS"|"-58.980499999999999"|"-27.43202"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"32"|"319.0"|"Línea 9 B "|""
"C01585"|"Av Edison y Juan de dios Mena"|"-58.992880000000000"|"-27.47116"|"Línea 205 Fontana - Resistencia VUELTA"|"42"|"402.0"|"Línea 205 "|""
"C02505"|"DIAGONAL EVA PERON Y ALTE BROWN"|"-58.947209999999998"|"-27.48311"|"Línea  207 Fontana - Barranqueras VUELTA"|"62"|"167.0"|"Línea  207 "|""
"C00586"|"AV SABIN Y CHARRUAS"|"-58.981479999999998"|"-27.43327"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"33"|"178.0"|"Línea 9 B "|""
"C01586"|"Av Edison y C. de la Torre Lisandro"|"-58.991199999999999"|"-27.47269"|"Línea 5 A Villa Luisa - Barrio UOM VUELTA"|"36"|"144.0"|"Línea 5 A "|""
"C00229"|"AV. 25 DE MAYO E ISRAEL"|"-59.009189999999997"|"-27.43289"|"Línea 204 Fontana - Barranqueras VUELTA"|"17"|"122.0"|"Línea 204 "|""
"C02269"|"AV. SAN MARTIN Y OBLIGADO"|"-58.984720000000003"|"-27.45717"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"30"|"157.0"|"Línea 104 "|""
"C02506"|"DIAGONAL EVA PERON Y AYACUCHO"|"-58.943610000000000"|"-27.48308"|"Línea  207 Fontana - Barranqueras VUELTA"|"63"|"356.0"|"Línea  207 "|""
"C01587"|"Av Edison y Carrasco"|"-58.989420000000003"|"-27.47427"|"Línea 5 B Villa Chica - Barrio UOM VUELTA"|"34"|"356.0"|"Línea 5 B "|""
"C02270"|"OBLIGADO Y SAN LORENZO"|"-58.983150000000002"|"-27.45887"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"24"|"250.0"|"Línea 8 D "|""
"C01588"|"Av Edison 1500"|"-58.987520000000004"|"-27.47593"|"Línea 5 B Villa Chica - Barrio UOM VUELTA"|"35"|"263.0"|"Línea 5 B "|""
"C01589"|"Av Chaco y Fortin Alvarado"|"-58.988239999999998"|"-27.47811"|"Línea 5 B Villa Chica - Barrio UOM VUELTA"|"36"|"375.0"|"Línea 5 B "|""
"C02507"|"Diagonal Eva Peron y Saavedra"|"-58.940930000000002"|"-27.48307"|"Línea 206 Resistencia - Barranqueras IDA"|"32"|"620.0"|"Línea 206 "|""
"C02271"|"OBLIGADO Y AV. LAS HERAS"|"-58.982289999999999"|"-27.45966"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"25"|"122.0"|"Línea 8 D "|""
"C00587"|"AV SABIN (CLUB VIALIDAD)"|"-58.983780000000003"|"-27.43632"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"34"|"505.0"|"Línea 9 B "|""
"C02272"|"AV. LAS HERAS Y ARTURO ALLIA"|"-58.981160000000003"|"-27.45922"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"26"|"147.0"|"Línea 8 D "|""
"C01590"|"Av Soldado Aguilera 05"|"-58.989890000000003"|"-27.48008"|"Línea 9 A Hipermercado Libertad - Barrio 17 de Octubre IDA"|"56"|"275.0"|"Línea 9 A "|""
